instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order
mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-64__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 7, ""min_value"": 500, ""payload_repeat"": 64, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-64__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,45
mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-900__limit_k-100__payload_repeat-64__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 1, ""min_value"": 900, ""payload_repeat"": 64, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-900__limit_k-100__payload_repeat-64__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,46
mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-1__limit_k-25,gac_fdw_multiregion_top_tenants,"{""limit_k"": 25, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-1__limit_k-25.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-v1,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,47
fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-1__min_value-900__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 1, ""min_value"": 900, ""payload_repeat"": 16, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-1__min_value-900__limit_k-100__payload_repeat-16__payload_width-512.sql,"fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,48
mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-14__limit_k-50,gac_fdw_multiregion_top_tenants,"{""limit_k"": 50, ""lookback_days"": 14}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-14__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-v1,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,49
fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-64__payload_width-512,gac_fdw_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 7, ""min_value"": 500, ""payload_repeat"": 64, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-64__payload_width-512.sql,"fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,50
mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-30__limit_k-25,gac_fdw_multiregion_top_tenants,"{""limit_k"": 25, ""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-30__limit_k-25.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-v1,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,51
fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-64__payload_width-512,gac_fdw_event_raw_wide_sample,"{""limit_k"": 250, ""lookback_days"": 7, ""min_value"": 500, ""payload_repeat"": 64, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-64__payload_width-512.sql,"fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,52
mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-64__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"": 250, ""lookback_days"": 7, ""min_value"": 500, ""payload_repeat"": 64, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-64__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,53
mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-10,gac_fdw_multiregion_top_tenants,"{""limit_k"": 10, ""lookback_days"": 7}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-10.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-v1,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,54
fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-900__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 7, ""min_value"": 900, ""payload_repeat"": 16, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-900__limit_k-100__payload_repeat-16__payload_width-512.sql,"fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,55
mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-3__limit_k-10,gac_fdw_multiregion_top_tenants,"{""limit_k"": 10, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-3__limit_k-10.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-v1,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,56
fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_top_tenants__lookback_days-1__limit_k-50,gac_fdw_top_tenants,"{""limit_k"": 50, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_top_tenants__lookback_days-1__limit_k-50.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,fdw_raw,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,57
mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-14__limit_k-10,gac_fdw_multiregion_top_tenants,"{""limit_k"": 10, ""lookback_days"": 14}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-14__limit_k-10.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-v1,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,58
mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-100__payload_repeat-64__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 1, ""min_value"": 500, ""payload_repeat"": 64, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-100__payload_repeat-64__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,59
mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 7, ""min_value"": 500, ""payload_repeat"": 16, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-16__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,60
mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-250__payload_repeat-16__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"": 250, ""lookback_days"": 1, ""min_value"": 500, ""payload_repeat"": 16, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-250__payload_repeat-16__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,61
fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-16__payload_width-512,gac_fdw_event_raw_wide_sample,"{""limit_k"": 250, ""lookback_days"": 7, ""min_value"": 500, ""payload_repeat"": 16, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-16__payload_width-512.sql,"fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,62
mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"": 100, ""lookback_days"": 1, ""min_value"": 500, ""payload_repeat"": 16, ""payload_width"": 512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-100__payload_repeat-16__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",clean-run-eu-us-gac-v1,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,63
fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_top_tenants__lookback_days-3__limit_k-100,gac_fdw_top_tenants,"{""limit_k"": 100, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients/queries/fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_top_tenants__lookback_days-3__limit_k-100.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,fdw_raw,pilot-skew-heavy-v1,fetch_small,eu_us_gac,positive_case,fetch_size,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,64
