condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-a856086b8f2c70249d8b,cond-a856086b8f2c70249d8b::r2,pair-66a9bae6555abd450059e606,pair-66a9bae6555abd450059e606::r2,gac_distinct_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50,gac_fdw_coordinator_regional_distinct_users,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""user_id_max"": 50}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_distinct_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50.sql,"regional_distinct,coordinator_unique,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_distinct_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default,distinct_active_users,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__global_distinct,regional_distinct,parameterized,,,,,,"fanin,distinct_dedup",active_user_distinct,regional_prededuplication,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,14,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
cond-1c854e4e54bf8a912f78,cond-1c854e4e54bf8a912f78::r1,pair-fac04c11be3731e04c3c643a,pair-fac04c11be3731e04c3c643a::r1,gac_topk_candidates_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,gac_fdw_coordinator_regional_event_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 10}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_topk_candidates_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10.sql,"regional_topk,coordinator_sort_topk,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_topk_candidates_mitigated__dataset-raw-large-balanced-v1__runtime-default,event_raw_wide_sample,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__global_topk,regional_topk_candidates,parameterized,,,,,,"fanin,sort_topk",event_topk,regional_topk_candidates,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,15,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
cond-3457c82d0e97d8d54db5,cond-3457c82d0e97d8d54db5::r1,pair-9f16788eaa53263d9669b7f2,pair-9f16788eaa53263d9669b7f2::r1,gac_distinct_raw_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-100,gac_fdw_coordinator_raw_distinct_users,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""user_id_max"": 100}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_distinct_raw_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-100.sql,"coordinator_raw_fanin,coordinator_unique",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_distinct_raw_stressed__dataset-raw-large-balanced-v1__runtime-default,distinct_active_users,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__global_distinct,gac_raw_distinct,parameterized,,,,,,"fanin,distinct_dedup",active_user_distinct,regional_prededuplication,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,16,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
cond-67fb0c8b19476817aa64,cond-67fb0c8b19476817aa64::r2,pair-b80b190be80b40b802b96861,pair-b80b190be80b40b802b96861::r2,gac_local_join_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1,gac_fdw_coordinator_regional_user_join,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_local_join_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1.sql,"regional_join,regional_partial_aggregate,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_local_join_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default,user_segment_topk,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__local_join,regional_colocated_join,parameterized,,,,,,"fanin,local_join,group_merge",user_segment_join,regional_join_pushdown,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,17,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
cond-8f14fefd43d67b76dd95,cond-8f14fefd43d67b76dd95::r1,pair-473af4027323593d71210cad,pair-473af4027323593d71210cad::r1,gac_topk_raw_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-2000,gac_fdw_coordinator_raw_event_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 2000}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_topk_raw_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-2000.sql,"coordinator_raw_fanin,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_topk_raw_stressed__dataset-raw-large-balanced-v1__runtime-default,event_raw_wide_sample,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__global_topk,gac_raw_topk,parameterized,,,,,,"fanin,sort_topk",event_topk,regional_topk_candidates,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,18,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
cond-b202064461b4369f4991,cond-b202064461b4369f4991::r2,pair-868878b1c3891c9b6ca3cbb6,pair-868878b1c3891c9b6ca3cbb6::r2,gac_group_merge_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-100,gac_fdw_coordinator_partial_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 100, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_group_merge_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-100.sql,"regional_partial_aggregate,coordinator_sort_topk,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_group_merge_mitigated__dataset-raw-large-balanced-v1__runtime-default,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__group_merge_fanin,regional_partial_aggregate,parameterized,,,,,,"fanin,group_merge,sort_topk",user_group_topk,regional_partial_aggregation,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,19,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
cond-1c854e4e54bf8a912f78,cond-1c854e4e54bf8a912f78::r0,pair-fac04c11be3731e04c3c643a,pair-fac04c11be3731e04c3c643a::r0,gac_topk_candidates_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,gac_fdw_coordinator_regional_event_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 10}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_topk_candidates_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10.sql,"regional_topk,coordinator_sort_topk,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_topk_candidates_mitigated__dataset-raw-large-balanced-v1__runtime-default,event_raw_wide_sample,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__global_topk,regional_topk_candidates,parameterized,,,,,,"fanin,sort_topk",event_topk,regional_topk_candidates,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,20,false,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=default:1;passes=2
cond-e423a2a1055bdd1622de,cond-e423a2a1055bdd1622de::r1,pair-19f2336351be34b7a7e1a6ab,pair-19f2336351be34b7a7e1a6ab::r1,gac_local_join_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16,gac_fdw_coordinator_regional_user_join,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""tenant_modulus"": 16}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_local_join_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16.sql,"regional_join,regional_partial_aggregate,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_local_join_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default,user_segment_topk,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__local_join,regional_colocated_join,parameterized,,,,,,"fanin,local_join,group_merge",user_segment_join,regional_join_pushdown,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,21,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
cond-d3edf5f20e33d683f2aa,cond-d3edf5f20e33d683f2aa::r0,pair-9d5210ba83e8fa86a425254e,pair-9d5210ba83e8fa86a425254e::r0,gac_group_merge_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4__limit_k-100,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 100, ""tenant_modulus"": 4}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_group_merge_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4__limit_k-100.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_group_merge_stressed__dataset-raw-large-balanced-v1__runtime-default,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__group_merge_fanin,gac_raw_aggregate,parameterized,,,,,,"fanin,group_merge,sort_topk",user_group_topk,regional_partial_aggregation,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,22,false,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=default:1;passes=2
cond-a856086b8f2c70249d8b,cond-a856086b8f2c70249d8b::r0,pair-66a9bae6555abd450059e606,pair-66a9bae6555abd450059e606::r0,gac_distinct_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50,gac_fdw_coordinator_regional_distinct_users,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""user_id_max"": 50}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_distinct_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50.sql,"regional_distinct,coordinator_unique,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_distinct_regional_mitigated__dataset-raw-large-balanced-v1__runtime-default,distinct_active_users,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__global_distinct,regional_distinct,parameterized,,,,,,"fanin,distinct_dedup",active_user_distinct,regional_prededuplication,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,23,false,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=default:1;passes=2
cond-21f8e42022a5f17427ed,cond-21f8e42022a5f17427ed::r1,pair-26e5ee4f1a73cf2e37c2c0ce,pair-26e5ee4f1a73cf2e37c2c0ce::r1,gac_group_merge_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-100,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 100, ""tenant_modulus"": 16}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__default__analytics_clients/queries/gac_group_merge_stressed__dataset-raw-large-balanced-v1__runtime-default__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-100.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_group_merge_stressed__dataset-raw-large-balanced-v1__runtime-default,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__group_merge_fanin,gac_raw_aggregate,parameterized,,,,,,"fanin,group_merge,sort_topk",user_group_topk,regional_partial_aggregation,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,24,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
